id,wildfire_ha
058030,0.0
058031,120.0
058032,189.0
058033,120.0
058034,0.0
058035,0.0
058036,142.0
058037,0.0
058038,0.0
058039,0.0
058040,0.0
058041,0.0
058042,3.0
058043,0.0
058044,0.0
058045,0.0
058046,126.0
058047,32.0
058048,0.0
058049,0.0
058050,0.0
058051,0.0
058052,40.0
058053,0.0
058054,11.0
058055,0.0
058056,0.0
058057,0.0
058058,47.0
058059,0.0
058060,25.0
058061,0.0
058062,0.0
058063,0.0
058064,101.0
058065,0.0
058066,131.0
058067,0.0
058068,414.0
058069,120.0
058070,0.0
058071,280.0
058072,147.0
058073,108.0
058074,0.0
058075,0.0
058076,119.0
058077,0.0
058078,0.0
058079,21.0
058080,0.0
058081,39.0
058082,62.0
058083,110.0
058084,0.0
058085,18.0
058086,0.0
058087,0.0
058088,15.0
058089,22.0
058090,0.0
058091,972.0
058092,151.0
058093,93.0
058094,0.0
058095,37.0
058096,0.0
058097,0.0
058098,32.0
058099,0.0
058100,0.0
058101,0.0
058102,0.0
058103,44.0
058104,750.0
058105,18.0
058106,0.0
058107,0.0
058108,46.0
058109,0.0
058110,0.0
058111,0.0
058112,47.0
058113,0.0
058114,0.0
058115,0.0
058116,0.0
058117,0.0
058118,0.0
058119,0.0
058120,0.0
058122,0.0
059001,0.0
059002,265.0
059003,559.0
059004,498.0
059005,36.0
059006,0.0
059007,3221.0
059008,3970.0
059009,1549.0
059010,5415.0
059011,0.0
059012,1395.0
059013,468.0
059014,41.0
059015,600.0
059016,98.0
059017,0.0
059018,0.0
059019,327.0
059020,652.0
059021,418.0
059022,359.0
059023,663.0
059024,0.0
059025,0.0
059026,830.0
059027,349.0
059028,656.0
059029,1524.0
059030,1014.0
059031,1880.0
059032,831.0
059033,0.0
060001,18.0
060002,144.0
060003,553.0
060004,1313.0
060005,1087.0
060006,272.0
060007,0.0
060008,138.0
060009,0.0
060010,0.0
060011,0.0
060012,380.0
060013,8.0
060014,0.0
060015,0.0
060016,433.0
060017,0.0
060018,0.0
060019,264.0
060020,18.0
060021,40.0
060022,446.0
060023,671.0
060024,0.0
060025,17.0
060026,1038.0
060027,40.0
060028,0.0
060029,1007.0
060030,618.0
060031,1128.0
060032,321.0
060033,446.0
060034,0.0
060035,0.0
060036,293.0
060037,0.0
060038,0.0
060039,137.0
060040,0.0
060041,308.0
060042,99.0
060043,0.0
060044,254.0
060045,0.0
060046,0.0
060047,1263.0
060048,0.0
060049,0.0
060050,0.0
060051,369.0
060052,431.0
060053,75.0
060054,0.0
060055,0.0
060056,312.0
060057,996.0
060058,17.0
060059,116.0
060060,447.0
060061,0.0
060062,214.0
060063,38.0
060064,94.0
060065,0.0
060066,23.0
060067,56.0
060068,137.0
060069,198.0
060070,471.0
060071,214.0
060072,0.0
060073,0.0
060074,242.0
060075,0.0
060076,89.0
060077,298.0
060078,0.0
060079,0.0
060080,0.0
060081,0.0
060082,1068.0
060083,142.0
060084,43.0
060085,212.0
060086,996.0
060087,193.0
060088,0.0
060089,887.0
060090,210.0
060091,221.0
066001,0.0
066002,0.0
066003,0.0
066004,0.0
066005,0.0
066006,83.0
066007,0.0
066008,82.0
066009,0.0
066010,0.0
066011,0.0
066012,0.0
066013,82.0
066014,0.0
066015,0.0
066016,0.0
066017,93.0
066018,0.0
066019,0.0
066020,176.0
066021,0.0
066022,0.0
066023,39.0
066024,0.0
066025,0.0
066026,422.0
066027,76.0
066028,0.0
066029,0.0
066030,0.0
066031,0.0
066032,0.0
066033,0.0
066034,19.0
066035,0.0
066036,93.0
066037,0.0
066038,41.0
066039,336.0
066040,150.0
066041,0.0
066042,0.0
066043,0.0
066044,0.0
066045,0.0
066046,0.0
066047,452.0
066048,0.0
066049,1043.0
066050,51.0
066051,0.0
066052,0.0
066053,0.0
066054,0.0
066055,0.0
066056,0.0
066057,0.0
066058,0.0
066059,0.0
066060,0.0
066061,0.0
066062,0.0
066063,510.0
066064,173.0
066065,0.0
066066,2165.0
066067,0.0
066068,0.0
066069,510.0
066070,0.0
066071,0.0
066072,360.0
066073,0.0
066074,0.0
066075,2471.0
066076,382.0
066077,548.0
066078,0.0
066079,0.0
066080,21.0
066081,0.0
066082,19.0
066083,0.0
066084,0.0
066085,0.0
066086,0.0
066087,0.0
066088,0.0
066089,123.0
066090,0.0
066091,0.0
066092,0.0
066093,0.0
066094,0.0
066095,0.0
066096,0.0
066097,218.0
066098,2471.0
066099,10.0
066100,218.0
066101,0.0
066102,0.0
066103,0.0
066104,21.0
066105,0.0
066106,0.0
066107,0.0
066108,96.0
067001,0.0
067002,0.0
067003,413.0
067004,73.0
067005,62.0
067006,0.0
067007,0.0
067008,0.0
067009,0.0
067010,0.0
067011,0.0
067012,0.0
067013,0.0
067014,0.0
067015,0.0
067016,0.0
067017,0.0
067018,0.0
067019,0.0
067020,0.0
067021,0.0
067022,0.0
067023,0.0
067024,0.0
067025,0.0
067026,0.0
067027,0.0
067028,0.0
067029,73.0
067030,0.0
067031,0.0
067032,0.0
067033,0.0
067034,0.0
067035,0.0
067036,0.0
067037,0.0
067038,0.0
067039,0.0
067040,0.0
067041,122.0
067042,0.0
067043,0.0
067044,0.0
067045,0.0
067046,0.0
067047,0.0
068001,201.0
068002,0.0
068003,0.0
068004,0.0
068005,150.0
068006,0.0
068007,2282.0
068008,21.0
068009,440.0
068010,0.0
068011,0.0
068012,28.0
068013,0.0
068014,0.0
068015,0.0
068016,12.0
068017,0.0
068018,0.0
068019,383.0
068020,178.0
068021,0.0
068022,0.0
068023,0.0
068024,0.0
068025,0.0
068026,0.0
068027,0.0
068028,0.0
068029,21.0
068030,0.0
068031,0.0
068032,0.0
068033,0.0
068034,201.0
068035,0.0
068036,2039.0
068037,2039.0
068038,0.0
068039,0.0
068040,108.0
068041,0.0
068042,315.0
068043,0.0
068044,0.0
068045,0.0
068046,0.0
069001,0.0
069002,128.0
069003,0.0
069004,0.0
